Wavelength_nm,Response,ExcelInterp,CSVIntensityNorm,ShiftApplied,WL_Min_Filter
405.608002,16.30067,0.00030969279,0.0050481999,2.374402,403.00
405.825836,14.695214,0.00036682446,0.0053905641,2.374402,403.00
406.043671,8.1060375,0.00063270817,0.0051287562,2.374402,403.00
406.261536,6.6304653,0.00065201945,0.0043231924,2.374402,403.00
406.479370,6.9380264,0.00054764507,0.003799576,2.374402,403.00
406.697266,9.9810734,0.00053402543,0.0053301471,2.374402,403.00
406.915161,9.2844962,0.00052853983,0.0049072261,2.374402,403.00
407.133057,7.1210698,0.00063820782,0.0045447224,2.374402,403.00
407.350983,4.049679,0.0010277554,0.0041620796,2.374402,403.00
407.568939,6.4721534,0.00097291014,0.0062968237,2.374402,403.00
407.786865,5.6269764,0.0010080923,0.0056725118,2.374402,403.00
408.004852,2.772725,0.0011814945,0.0032759593,2.374402,403.00
408.222778,5.7221431,0.001086353,0.0062162674,2.374402,403.00
408.440796,4.0732873,0.0011058498,0.004504444,2.374402,403.00
408.658783,3.7338098,0.0010877319,0.0040613842,2.374402,403.00
408.876801,4.3131752,0.0011704138,0.0050481999,2.374402,403.00
409.094849,4.3351631,0.00127597,0.005531538,2.374402,403.00
409.312866,4.144719,0.0012131246,0.0050280607,2.374402,403.00
409.530945,4.0971798,0.0011239779,0.0046051395,2.374402,403.00
409.749023,3.5638814,0.0012074064,0.0043030532,2.374402,403.00
409.967071,4.7116487,0.0011825619,0.0055718164,2.374402,403.00
410.185150,3.9932832,0.0010725295,0.004282914,2.374402,403.00
410.403259,3.0606962,0.0010374319,0.0031752638,2.374402,403.00
410.621399,6.7939004,0.00088237051,0.0059947373,2.374402,403.00
410.839539,4.9808674,0.0009326524,0.0046454179,2.374402,403.00
411.057678,5.4112661,0.0011338771,0.0061357106,2.374402,403.00
411.275848,5.2441098,0.0012122631,0.0063572407,2.374402,403.00
411.493988,3.5888539,0.0012887899,0.0046252787,2.374402,403.00
411.712189,3.5490397,0.0012351537,0.0043836097,2.374402,403.00
411.930389,5.2725968,0.0011178632,0.0058940419,2.374402,403.00
